CLASS_TYPE,CHAR_NAME,CHAR_VALUE,INACTIVE
FINISHED_GOODS,SUB-BRAND,PT RAINBOW PALLETS,
FINISHED_GOODS,SUB-BRAND,PURE CRACKERS,
FINISHED_GOODS,SUB-BRAND,PURE FRUIT STRIPS,
FINISHED_GOODS,SUB-BRAND,PURE LAYERED FRUIT BARS,
FINISHED_GOODS,SUB-BRAND,PURE LAYERED FRUIT BITES,
FINISHED_GOODS,SUB-BRAND,PURE MIXED,
FINISHED_GOODS,SUB-BRAND,RICE KRISPIES,
FINISHED_GOODS,SUB-BRAND,RKSB - STRAWBERRY,
FINISHED_GOODS,SUB-BRAND,RKSB ASST,
FINISHED_GOODS,SUB-BRAND,RKSB CHOC,
FINISHED_GOODS,SUB-BRAND,RKSB CHOC PB,
FINISHED_GOODS,SUB-BRAND,RKSB CINNAMON,
FINISHED_GOODS,SUB-BRAND,RKSB ORIGINAL,
FINISHED_GOODS,SUB-BRAND,RKSB RAINBOW,
FINISHED_GOODS,SUB-BRAND,RKSB SEASONAL,
FINISHED_GOODS,SUB-BRAND,RKSB SS,
FINISHED_GOODS,SUB-BRAND,RKT BLISS,
FINISHED_GOODS,SUB-BRAND,RKT CARAMEL,
FINISHED_GOODS,SUB-BRAND,RKT DIPPED,
FINISHED_GOODS,SUB-BRAND,RKT MEGA BAR,
FINISHED_GOODS,SUB-BRAND,RKT MINIS,
FINISHED_GOODS,SUB-BRAND,RKT SHEETS,
FINISHED_GOODS,SUB-BRAND,RX BAR HIGH PROTEIN,
FINISHED_GOODS,SUB-BRAND,RX BAR MINI,
FINISHED_GOODS,SUB-BRAND,RX BAR PROTEIN BAR MIXED,
FINISHED_GOODS,SUB-BRAND,RX BUTTER ALTERNATIVES,
FINISHED_GOODS,SUB-BRAND,RX GRANOLA,
FINISHED_GOODS,SUB-BRAND,RX NUTBTR&OAT PROTEIN BARS,
FINISHED_GOODS,SUB-BRAND,RX PROTEIN BARS,
