CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
FINISHED_GOODS,FLAVOR,CONFETTI CAKE BITES,CNFTI CK BTS,NULL
FINISHED_GOODS,FLAVOR,CONFETTI CUPCAKE,CNFETTI CPCAKE,
FINISHED_GOODS,FLAVOR,COOKIE CRACKER VARIETY,COOK CRKR VRTY,
FINISHED_GOODS,FLAVOR,COOKIES & CREME,COOK&CRM,
FINISHED_GOODS,FLAVOR,COOKIES 'N' CREME,COOKNCRM,
FINISHED_GOODS,FLAVOR,COOKIES N CRÈME DUNK'D,COOKNCRM DNKD,
FINISHED_GOODS,FLAVOR,COOKIES N' CREME,COOKNCRM,
FINISHED_GOODS,FLAVOR,CORN DOGS,CRN DGS,
FINISHED_GOODS,FLAVOR,CORNED BEEF,CRNED BEEF,
FINISHED_GOODS,FLAVOR,COUNTRY CHEDDAR CHEESE,CNTRY CHDR CHSE,
FINISHED_GOODS,FLAVOR,CRANBERRIES & ALMONDS,CRNBRRY ALMNDS,
FINISHED_GOODS,FLAVOR,CRANBERRY ALMOND,CRNBRRY ALMND,
FINISHED_GOODS,FLAVOR,CRANBERRY PUMPKIN SEED,CRNBRRY PMPKN SD,
FINISHED_GOODS,FLAVOR,CRANBERRY WALNUT,CRNBRRY WLNT,
FINISHED_GOODS,FLAVOR,CRAZY BERRIES,CRAZY BRRY,
FINISHED_GOODS,FLAVOR,CRUNCH CHEDDAR RANCH,CRNCH CHDR RNCH,
FINISHED_GOODS,FLAVOR,CRUNCH MANIA CINNAMON BUN,CRNCH MANIA CINN BN,
FINISHED_GOODS,FLAVOR,CRUNCH MANIA FRENCH TOAST,CRNCH MANIA FRNCH TST,
FINISHED_GOODS,FLAVOR,CRUNCH ORIGINAL CHEDDAR,CRNCH ORG CHDR,
FINISHED_GOODS,FLAVOR,CRUNCH SHARP WHITE CHEDDAR,CRNCH SHRP WHT CHDR,
FINISHED_GOODS,FLAVOR,CRUNCHY CHOCOLATE PRETZEL,CRNCHY CHOC PRTZL,
FINISHED_GOODS,FLAVOR,CRUSHED,CRSHD,
FINISHED_GOODS,FLAVOR,DARK CHOC ALMD & SEA SALT CHIA,DK CHOC ALMND SSLT CHIA,
FINISHED_GOODS,FLAVOR,DARK CHOC CHUNKS & ALMONDS,DK CHOC CHNKS ALMND,
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE,DK CHOC,
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE ALMOND,DK CHOC ALMND,
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE CHUNKS & PECANS,DK CHC CHNKS & PCNS,NULL
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE COCONUT,DK CHOC COCNT,
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE GLUTEN FREE,DK CHOC GLTN FREE,
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE HAZELNUT,DK CHOC HZLNT,NULL
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE NUT,DK CHOC NUT,
FINISHED_GOODS,FLAVOR,DARK CHOCOLATE POMEGRANATE,DK CHOC PMEGRNT,
FINISHED_GOODS,FLAVOR,DARK MOCHA ALMOND,DK MCHA ALMND,
FINISHED_GOODS,FLAVOR,DAVE'S HOT CHIKN,DVS HT CHKN,NULL
FINISHED_GOODS,FLAVOR,DESI MASALA TADKA,DSI MSLA TDKA,NULL
FINISHED_GOODS,FLAVOR,DILL PICKLE,DILL PCKL,
FINISHED_GOODS,FLAVOR,DILL PICKLE & RANCH,DILL PKL RNCH,NULL
FINISHED_GOODS,FLAVOR,DIPPERS ORIGINAL,DIPPR ORIG,
FINISHED_GOODS,FLAVOR,DISNEY FROZEN,DSNY FRZ,
FINISHED_GOODS,FLAVOR,DK CHOCOLATE ALMOND,DK CHOC ALMND,
FINISHED_GOODS,FLAVOR,DK CHOCOLATE CHS CK,DK CHOC CHS CK,
FINISHED_GOODS,FLAVOR,DOUBLE CHEDDAR,DLB CHDR,NULL
FINISHED_GOODS,FLAVOR,DOUBLE CHEESE,DBL CHSE,
FINISHED_GOODS,FLAVOR,DOUBLE CHOCOLATE,DBL CHOC,
