T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_SMARTOPS
2050200258,KASHI ORGANIC CHEWY BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050300137,RKT SQUARES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050300138,RKT CRUNCH MIX,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050300216,KASHI SOFT BAKED SQUARES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050300254,KRAVE TREAT BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050300263,PURE ANCIENT GRAINS BAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050300264,PURE 100 CAL BAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050300283,RKT POPPERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400139,ALL BRAN FIBER BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400140,SPECIAL K PROTEIN BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400141,LIVE BRIGHT,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400142,KASHI GOLEAN BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050400208,SPK MIXED H & W BRANDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400233,SPECIAL K NOURISH BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400234,BEAR NAKED H&W BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050400235,KASHI JOI,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050400265,PURE FRUIT & NUT BAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400266,PURE VEGGIE PROTEIN BAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400275,KASHI H&W BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050400278,HAPPY INSIDE BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050400279,HAPPY INSIDE MIX,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050400280,WK RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050400285,KASHI PROTEIN BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050409999,H & W BARS PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050500143,VECTOR BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050500206,MIXED WS BRANDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050500255,OTHER NEW BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050600309,RXBAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050600310,RXBAR MINIS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050600311,RXBAR LAYERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050600314,RXBAR KIDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050600316,RXBAR PLANT-BASED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050999999,BARS PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2060100230,SPECIAL K BREAKFAST SHAKE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060100231,KELLOGG BREAKFAST TG SHAKE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060100244,VECTOR SHAKES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060100246,ALL BRAN SHAKES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060200145,SPECIAL K POWDERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060200146,ALL BRAN FIBER POWDER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060200147,KASHI GOLEAN POWDERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2060200148,MSF ORGANIC-KAFFREE ROMA,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060200243,KELLOGG BREAKFAST TG POWDER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2060200273,DO NOT USE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,
2060999999,BEVERAGES PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,HLTH-WELNS
2070100149,KEEBLER CRUSTS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,SNAKS-MISC
