T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,SIF_DESCRIPTION
4010300198,EGGO MUFFIN TOPS,EG
4010300199,EGGO SWEET GOODS NEW,EG
4010300200,SPECIAL K MINI LOAVES,SPK
4010400166,EGGO SAVORY,EGGO SAVORY
4010400218,SPECIAL K BKFST HANDHELD,SPECIAL K BKFST HANDHELD
4010400272,LICENSED FROZEN MEALS,LICENSED FROZEN MEALS
4010400284,FROZEN AM BAKERY,FAMB
4010500167,EGGO FRENCH TOAST,EGGO FRENCH TOAST
4010500201,CINNABON FRENCH TOAST,CINNBN
"4010600307        ",EGGO STUFFED,EGGO STUFFED
4010999999,FROZEN BREAKFAST PRODUCT RESERVE,FBPR
4020100168,WORTHINGTON FOODS - CANNED,"WRTN "
4020100169,LOMA LINDA - CANNED,LLND
4020150170,GB VEGGIE BURGERS,GB VEGGIE BURGERS
4020150171,MSF VEGGIE BURGERS,MSF VEGGIE BURGERS
4020150291,INCOGMEATO BURGERS,INCOGMEATO BRGRS
4020200172,GB POULTRY,GB PLTRY
4020200173,MSF POULTRY,MSF POULTRY
4020200296,INCOGMEATO POULTRY,INCOGMEATO PLTRY
4020250174,MSF HOT DOGS,MSF HOT DOGS
4020250292,INCOGMEATO SAUSAGE,INCOGMEATO SSG
4020300175,MSF CORN DOGS,MSF CORN DOGS
4020350176,GB HANDHELDS,GB HNDHLD
4020350251,MSF HANDHELDS,MSF HNDHLD
4020400177,GB BREAKFAST,GB
4020400178,MSF BREAKFAST,MSF BREAKFAST
4020450179,GB MEAL SOLUTIONS,GB MEAL SOLUTIONS
4020450180,MSF MEAL SOLUTIONS,MSF MEAL SOLUTIONS
4020450293,INCOGMEATO MEAL SOLUTIONS,INCOGMEATO ML SLTNS
4020450304,PRIVATE LABEL MEAL SOLUTIONS,PL MEAL SOLUTIONS
4020500181,GB - OTHER,GB
4020500182,MSF - OTHER,MSF
4020500183,MSF ORGANIC - OTHER,MSF ORGANIC
4020500184,WORTHINGTON FOODS - OTHER,"WRTN "
4020550192,MSF ENTREES,MSF ENTREES
4020999999,VEGGIE PRODUCT RESERVE,VGPR
4030500185,KASHI PIZZA,KASHI
4030550186,KASHI ENTRÉE'S,KASHI ENTREES
4030600240,KASHI SOUP,KASHI SP
4030999999,FROZEN MEALS PRODUCT RESERVE,FMPR
4040500298,"INCOGMEATO BURGERS                      ",INCOGMEATO BRGRS
4040500299,"INCOGMEATO GROUND            ",INCOGMEATO GR
4040550300,"INCOGMEATO NUGGETS                      ",INCOGMEATO NGGTS
4040550301,"INCOGMEATO TENDERS                      ",INCOGMEATO TNDRS
4040600302,"INCOGMEATO SAUSAGE                      ",INCOGMEATO SSG
4040650305,INCOGMEATO FROZEN BREAKFAST,INCOGMEATO FRZ BRKFST
4040700306,INCOGMEATO FRESH BREAKFAST,INCOGMEATO FRSH BRKFST
5010100281,JOYBOL,JOYBOL
5020200297,LEAF JERKY,LEAF JERKY
