T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,COUNTRY,MAT_GRP_1,MAT_GRP_1_DESC,CONCATENATION
2090100211,DISPLAYS,CA,99,NONFOOD,99 NONFOOD
2090100247,SNACKS MISC LICENSING,CA,99,NONFOOD,99 NONFOOD
2090100248,IDEAL VIE,CA,99,NONFOOD,99 NONFOOD
4010100157,EGGO WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100158,KASHI GOLEAN WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100159,KASHI WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100160,EGGO SPECIAL K WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100161,MIXED FROZEN BRANDS,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100205,EGGO NUTRI-GRAIN WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100290,OFF THE GRID WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010100303,KELLOGG'S WAFFLES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010200162,EGGO PANCAKES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010200163,CINNABON PANCAKES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010300164,EGGO BAKE SHOP,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010300165,EGGO SWEET PIZZA,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010300198,EGGO MUFFIN TOPS,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010300199,EGGO SWEET GOODS NEW,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010300200,SPECIAL K MINI LOAVES,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010400166,EGGO SAVORY,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010400218,SPECIAL K BKFST HANDHELD,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010400272,LICENSED FROZEN MEALS,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010400284,FROZEN AM BAKERY,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010500167,EGGO FRENCH TOAST,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010500201,CINNABON FRENCH TOAST,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010600307,EGGO STUFFED,CA,30,FROZEN BRKF,30 FROZEN BRKF
4010999999,FROZEN BREAKFAST PRODUCT RESERVE,CA,30,FROZEN BRKF,30 FROZEN BRKF
4020100168,WORTHINGTON FOODS - CANNED,CA,60,VEGGIE,60 VEGGIE
4020100169,LOMA LINDA - CANNED,CA,60,VEGGIE,60 VEGGIE
4020150170,GB VEGGIE BURGERS,CA,60,VEGGIE,60 VEGGIE
4020150171,MSF VEGGIE BURGERS,CA,60,VEGGIE,60 VEGGIE
4020150291,DO NOT USE - INCOG BURGERS,CA,60,VEGGIE,60 VEGGIE
4020200172,GB POULTRY,CA,60,VEGGIE,60 VEGGIE
4020200173,MSF POULTRY,CA,60,VEGGIE,60 VEGGIE
4020200296,DO NOT USE - INCOG POULTRY,CA,60,VEGGIE,60 VEGGIE
4020250174,MSF HOT DOGS,CA,60,VEGGIE,60 VEGGIE
4020250292,DO NOT USE - INCOG SAUSAGE,CA,60,VEGGIE,60 VEGGIE
4020300175,MSF CORN DOGS,CA,60,VEGGIE,60 VEGGIE
4020350176,GB HANDHELDS,CA,60,VEGGIE,60 VEGGIE
4020350251,MSF HANDHELDS,CA,60,VEGGIE,60 VEGGIE
4020400177,GB BREAKFAST,CA,60,VEGGIE,60 VEGGIE
4020400178,MSF BREAKFAST,CA,60,VEGGIE,60 VEGGIE
4020450179,GB MEAL SOLUTIONS,CA,60,VEGGIE,60 VEGGIE
4020450180,MSF MEAL SOLUTIONS,CA,60,VEGGIE,60 VEGGIE
4020450293,DO NOT USE - INCOG MEAL SOLUTIONS,CA,60,VEGGIE,60 VEGGIE
4020450304,PRIVATE LABEL MEAL SOLUTIONS,CA,60,VEGGIE,60 VEGGIE
4020500181,GB - OTHER,CA,60,VEGGIE,60 VEGGIE
4020500182,MSF - OTHER,CA,60,VEGGIE,60 VEGGIE
4020500183,MSF ORGANIC - OTHER,CA,60,VEGGIE,60 VEGGIE
4020500184,WORTHINGTON FOODS - OTHER,CA,60,VEGGIE,60 VEGGIE
4020550192,MSF ENTREES,CA,60,VEGGIE,60 VEGGIE
4020999999,VEGGIE PRODUCT RESERVE,CA,60,VEGGIE,60 VEGGIE
4030500185,KASHI PIZZA,CA,60,VEGGIE,60 VEGGIE
4030550186,KASHI ENTRÉE'S,CA,60,VEGGIE,60 VEGGIE
4030600240,KASHI SOUP,CA,60,VEGGIE,60 VEGGIE
4030999999,FROZEN MEALS PRODUCT RESERVE,CA,60,VEGGIE,60 VEGGIE
4040500298,INCOGMEATO BURGERS,CA,60,VEGGIE,60 VEGGIE
4040500299,INCOGMEATO GROUND,CA,60,VEGGIE,60 VEGGIE
4040550300,INCOGMEATO CHICKEN,CA,60,VEGGIE,60 VEGGIE
4040550301,DO NOT USE - INCOGMEATO TNDRS,CA,60,VEGGIE,60 VEGGIE
4040600302,INCOGMEATO SAUSAGE,CA,60,VEGGIE,60 VEGGIE
4040650305,INCOGMEATO FROZEN BREAKFAST,CA,60,VEGGIE,60 VEGGIE
4040700306,INCOGMEATO FRESH BREAKFAST,CA,60,VEGGIE,60 VEGGIE
2035100221,PRINGLES CRISPS,LA,50,SALTY SNK,50 SALTY SNK
1010100320,RX GRANOLA,US,40,PWS,40 PWS
1010100322,MOUTH OFF,US,10,CEREAL,10 CEREAL
2010100052,POP-TARTS,US,40,PWS,40 PWS
2010100053,POP-TARTS MINI CRISPS,US,40,PWS,40 PWS
2010100054,POP-TARTS RAINBOW PALLETS,US,40,PWS,40 PWS
2010999999,TOASTER PASTRIES PRODUCT RESERVE,US,40,PWS,40 PWS
2020100055,ANIMAL CRACKERS COOKIES,US,40,PWS,40 PWS
2030100088,ALL BRAN CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100089,AUSTIN CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
2030100090,BLUE GINGER,US,50,SALTY SNK,50 SALTY SNK
2030100091,CADDIES CHEEZ-IT OTG,US,50,SALTY SNK,50 SALTY SNK
2030100092,CARR'S CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100093,CHEEZ-IT,US,50,SALTY SNK,50 SALTY SNK
2030100094,CLUB CRACKERS,US,50,SALTY SNK,50 SALTY SNK
2030100095,GRAHAMS,US,50,SALTY SNK,50 SALTY SNK
2030100096,GRIPZ CRACKERS OTG,US,50,SALTY SNK,50 SALTY SNK
