CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
PROMOTION,LONG_DESCRIPTION,FOOD FOR LESS,F4L,
PROMOTION,LONG_DESCRIPTION,FOOD LION,FOOD LN,
PROMOTION,LONG_DESCRIPTION,FOOD LION CMN,FOOD LN CMN,
PROMOTION,LONG_DESCRIPTION,FOOD NEWS,FD NEWS,
PROMOTION,LONG_DESCRIPTION,FREE BOX AND GIVE BACK:  CEREA,FREBXGVBK,
PROMOTION,LONG_DESCRIPTION,FREE BREAKFAST,FRE BRKFST,
PROMOTION,LONG_DESCRIPTION,FREE CEREAL,FRE CRL,
PROMOTION,LONG_DESCRIPTION,FREE EGGS IRC,FRE EG IRC,
PROMOTION,LONG_DESCRIPTION,FREE FIRE,FR FIRE,
PROMOTION,LONG_DESCRIPTION,FREE MILK,FRE MILK,
PROMOTION,LONG_DESCRIPTION,FREE MILK IRC,FREMLK IRC,
PROMOTION,LONG_DESCRIPTION,FREE NPF,FRE NPF,
PROMOTION,LONG_DESCRIPTION,FREE SNK,FREE SNK,
PROMOTION,LONG_DESCRIPTION,FREE SPOON,FRE SPN,
PROMOTION,LONG_DESCRIPTION,FRESH FRUIT,FRESHFRT,
PROMOTION,LONG_DESCRIPTION,FRESH FRUIT HISPANIC IRC,FRESHHSP,
PROMOTION,LONG_DESCRIPTION,FRESH FRUIT IRC,FRESHFRT,
PROMOTION,LONG_DESCRIPTION,FRUIT OR MILK IRC,FRT OR MLK IRC,
PROMOTION,LONG_DESCRIPTION,FRUITBOOSTER PT,FRTBSTR PT,
PROMOTION,LONG_DESCRIPTION,GAMING,GMNG,
PROMOTION,LONG_DESCRIPTION,GET ACTIVE,GT ACTV,
PROMOTION,LONG_DESCRIPTION,GFS,GFS,
PROMOTION,LONG_DESCRIPTION,GHOSTBUSTERS,GHSTBSTR,
PROMOTION,LONG_DESCRIPTION,GHOSTBUSTERS INSERT,GHSTBSTR INS,
PROMOTION,LONG_DESCRIPTION,GIANT,GIANT,
PROMOTION,LONG_DESCRIPTION,GIFT OF MUSIC,GOM,
PROMOTION,LONG_DESCRIPTION,GIFT SIZE,GFT SZ,
PROMOTION,LONG_DESCRIPTION,GINA,GINA,
PROMOTION,LONG_DESCRIPTION,GIRL SCOUTS,GSCOUT,
PROMOTION,LONG_DESCRIPTION,GIVE A CHILD BREAKFAST,GACBF,
PROMOTION,LONG_DESCRIPTION,GIVE AND GET,GV GT,
PROMOTION,LONG_DESCRIPTION,GLIDERS,GLIDERS,
PROMOTION,LONG_DESCRIPTION,GLITTER JOJO,GLTTR JOJO,
PROMOTION,LONG_DESCRIPTION,GOLDEN TICKET,GLDN TCKT,
PROMOTION,LONG_DESCRIPTION,GOOD DINOSAUR,GD DNOSR,
PROMOTION,LONG_DESCRIPTION,GREAT STARTS BTS,GRT STARTS BTS,
