MARA_MATNR,MAKT_MAKTX
000000002410012902,CHZIT 2 FLVS CRCKR TRAYX12CT ALDI
000000002410012903,CHZIT 2 FLVS CRCKR TRAYX12 ALDI ORIG/WC
000000002410013067,KRSP SALTINE CRCKR 16OZX12
000000002410013328,ZESTA CRCKR CRSH 10 LBX1 CRSHD BULK
000000002410013434,CHZIT WHITE CHDR CRCKR BIG 2OZX60 SS
000000002410019132,CHZIT ORIG CRCKR 3OZX36 SS
000000002410020360,CHZIT CHDR JACK CRCKR 3OZX36 SS
000000002410020408,CHZIT ORIG CRCKR 7OZX6
000000002410020417,CHZIT CHDR JACK CRCKR 7.00X6
000000002410021912,CHZIT ORIG CRCKR 3OZX60
000000002410022642,CHZIT ORIG CRCKR 4.50X12 SS
000000002410022822,CHZIT HOT&SPCY CRCKR 630LBX1 BULK WIP
000000002410022876,CHZIT WHITE CHDR CRCKR 4.50X12 SS
000000002410031532,CHZIT WHITE CHDR CRCKR 3OZX36 SS
000000002410035540,CHZIT CRCKR 630LBX1 BULK TOTE
000000002410037278,CHZIT HOT&SPCY CRCKR 3OZX36 SS
000000002410044069,CHZIT ORIG CRCKR 21OZX12
000000002410044076,CHZIT RDCD FT CRCKR 11.50X12
000000002410044086,CHZIT WHITE CHDR CRCKR 21.00X12
000000002410053522,CHZIT RDCD FT CRCKR 19.00X12
000000002410057379,CHZIT PEPPER JACK CRCKR 3OZX36 SS
000000002410057466,CHZIT ORIG CUP CRKR 2.2ozX10
000000002410057715,CHZIT SNACK MX ORIG CRCKR 4.5OZX6 SS
000000002410057720,CHZIT DBLE CH SNK MIX CRCKR 3.5OZX6 SS
000000002410057728,CHZIT DUOZ CHDR PRM GLK CRCKR 4.3OZX6
000000002410059440,CHZIT ORIG BIG CRCKR 11.7OZX12
000000002410059472,CHZIT CHDR RNCH GRVS CRCKR 9OZX12
000000002410059474,CHZIT SHRP WHT CHDR GRVS CRCKR 9OZX12
000000002410070495,CHZIT WHITE CHDR CUP 2.2ozX10ct
000000002410070562,CHZIT ORIG CRCKR 7 OZX12
000000002410070569,CHZIT WHITE CHDR CRCKR 7 OZX12
000000002410070583,CHZIT HOT&SPCY CRCKR 7ozX12
000000002410078886,CHZIT CHDR JCK CRCKR 12.4OZX12
000000002410078894,CHZIT DUOZ CHDR PRM CRCKR 12.4OZX12
000000002410078896,CHZIT HOT&SPCY CRCKR 12.4OZX12
000000002410078911,CHZIT ITAL CHSE CRCKR 12.4OZX12
000000002410078924,CHZIT PEPPER JACK CRCKR 12.4OZX12
000000002410078936,CHZIT WHITE CHDR CRCKR 12.4OZX12
000000002410078940,CHZIT WHL GRN CRCKR 12.4OZX12
000000002410079263,CHZIT ORIG FAFH WHGRN 0.75OZX175
000000002410092189,CHZIT SNACK MX ORIG CRCKR 40OZX4
000000002410092816,CHZIT DUOZ CHDR/BSWIS CRCKR 4.3OZX6
000000002410093646,CHZIT CHDR RNCH GRVS CRCKR 3.25OZX6
000000002410093647,CHZIT SHRP WHT CHDR GRVS CRCKR 3.25OZX6
000000002410093995,CHZIT ORIG CRCKR 12OZX6 CADDY
000000002410094026,CHZIT 3 FLVS CRCKR 12.1OZX4 OTG CADY
000000002410094058,CHZIT ORIG CRCKR 20OZX4 OTG CADY
000000002898910063,MSF SPCY BLK BEAN FRZ BRG 9.5OZX8
000000002898910065,MSF SPCY BLK BEAN FRZ BRG 18.9OZX5
000000002898910067,MSF GAR VEG FRZ PAT 9.5OZX8
000000002898910079,MSF GRL FRZ BRG 18OZX5
000000002898910081,MSF GRL FRZ BRG 9OZX8
000000002898910083,MSF GRL PRIME FRZ BRG 10OZX8
000000002898910087,MSF SAUSAGE FRZ PAT 8OZX6
000000002898910089,MSF SAUSAGE FRZ PAT 16OZX5
000000002898910091,MSF MAPL FRZ PAT 8OZX6
000000002898910093,MSF HOT&SPCY SSG FRZ PAT 8OZX6
000000002898910101,MSF ORIG FR CHK PAT 4CT 10OZX8
000000002898910103,MSF BFFLO CHIK FRZ PAT 10OZX7
000000002898910107,MSF CHIKN NUGGETS FRZ 10.5OZX6
000000002898910109,MSF BFFLO NGGTS FRZ 10.50ZX6
000000002898910128,MSF CHIK FRZ STRP 10OZX6
000000002898910170,MSF CHICK FRZ STRP 13.5OZX5
000000002898910202,MSF CHIK PATTIES FRZ 2.5OZX64 BULK
000000002898910203,MSF GAR VEG FRZ BRG 16CT 56OZX9 CLUB
000000003010011355,CLUB CRKR ORIG SNK STK 12.5OZX6 RCP
000000003010011478,PL SALTINE CRCKR 0.2OZX500 REST PK
000000003010011694,CSC WHEAT CRCKR 0.2OZX500 BULK
000000003010011930,TH EVTHNG PITA CRCKR 9.5OZX12
000000003010011962,TSTD WHT CRCKR 8OZX6
000000003010011964,TSTD ONION CRCKR 8OZX6
000000003010012006,KLG GRM CRK 12.7OZX4  OTG CDY PAW PATROL
000000003010012101,TSTD BTR CRISP CRCKR 8OZX6
000000003010012108,KLG TST PB CRCKR 20CT 27.6OZX6
000000003010012227,KLG SCOOBY CIN GRHM STX CKR 11OZX6 RCP
000000003010012260,TSTD 2 FLVS CRCKR SHPRX60 EVDY OFR
000000003010012262,ZSTA SALTINE CRCKR HALF MODX160 EVDY OFR
000000003010012264,TH 2 FLVS CRCKR SHPRX40 EVDY OFR
000000003010012269,TH 3 FLVS CRCKR HALF MODX280 EVDY OFR
000000003010012270,CLUB CRCKR 2 FLVS CRCKR SHPRX42 EVDY OFR
000000003010012274,CLB CRCKR 3 FLVS HALF MOD X310 EVDY OFR
000000003010012291,MXD 2 FLVS CRCKR SHPRX44EVDY OFR
000000003010012295,MXD 2 FLVS CRCKR HALF MODX204 EVDY OFR
000000003010012296,MXD 5 FLVS CRCKR HALF MODX200 EVDY OFR
000000003010012298,MXD 2 FLVS CRCKR HALF MODX295 EVDY OFR
000000003010012348,TSTD RSMRY OLVOL CRCKR 200OZX1 BULK
000000003010012414,TSTD RSMRY OLVOL CRCKR 8OZX6
000000003010012457,CLUB CRCKR GRLC & PARM CRCKR MNI 11OZX12
000000003010012582,KLG VRTY CRCKR SNDW 45CT 62.1OZX1 ECOMM
000000003010012583,ZSTA SALTINE CRCKR QTR MODX80 EVDY OFR
000000003010012590,TH 3 FLVS CRCKR QTR MODX106 EVDY OFR
000000003010012593,MXD 2 FLVS CRCKR QTR MODX121 EVDY OFR
000000003010012594,KLG CHSE & PB CRCKR 20CT 27.6OZX6
000000003010012641,KLG 3 FLVS CRCKR SHPRX72
000000003010012662,3010012593 MXD 2 FLVS CRCKR QTR MODX 121
000000003010012679,TSTD 3 FLVS CRCKR 40OZX1 VRTY PCK CLUB
000000003010012695,GRHMS VAN CHAT SNCKS CRCKR 1OZX210 SS
000000003010012702,MXD 4 FLVS CRCKR 52 OZ X1 CLUB
000000003010012728,ZSTA LG OYSTR CRCKR 0.5OZX150 REST PK
000000003010012736,TH SSLT DIPPING THINS 9OZX12
000000003010012743,KLG CINNA GRHM CRCKR 40CT 40OZX1 ECOMM
000000003010012761,CLUB ZSTA CRCKR 4CT 57OZX1 ECOMM VRTY PK
000000003010012773,KLG 3 FLVS CRCKR HALF MODX336
000000003010012803,2 FLVS CHZIT ORIG & SCOOBY CINN 12OZX4
000000003010012842,TH ORIG CRCKR QTR MODX108
000000003010012869,ZSTA UNSLTD CRCKR 0.2OZX500 BULK REST PK
000000003010012870,KLG WHT CRCKR 0.25OZX500 BULK REST PK
000000003010012874,TH ORIG CRCKR 20.7OZX6
000000003010012883,TH PRTZL CRCKR MINI 10.20OZX12
000000003010012897,TSTD SSLT CRCKR 8.7OZX12
000000003010012899,TSTD ITAL HERB CRCKR 8.7OZX12
000000003010012901,CLUB CRCKR ORIG CRCKR MINI 11OZX12
000000003010012906,CLUB CRKR ORIG CRCKR 13.7OZX12 HOL
000000003010012907,TH ORIG CRCKR 13.8OZX12 HOL
000000003010012908,TH FLIPSIDES ORIG 9.2OZX12 HOL
000000003010012909,TH SSLT PITA CRCKR 9.5OZX12 HOL
000000003010012917,CLUB CRCKR 2 FLVS CRCKR 40.1OZX1 ECOMM
000000003010012918,KLG 2 FLVS CRCKR SHPRX48
000000003010012924,MXD 2 FLVS CRCKR MODX602
000000003010012931,CLUB CRCKR 3 FLVS CRCKR MINIS SHPRX42
000000003010012936,GRPZ 3 FLVS CRCKR 11OZX4
000000003010012945,CLUB CRCKR CINN SGR CRCKR 11OZX12
000000003010012951,KLG SCOOBY CHOC CRCKR 40OZX1 WBS ECOMM
000000003010012952,CLUB CRCKR HT HNY CRCKR 7.1OZX6
000000003010012956,KLG SCOOBY CHOC BNS CRCKR 1OZX210
000000003010012958,CLUB CRCKR 2 FLVS CRCKR HALF MODX310
000000003010012959,CLUB CRCKR ORIG CRCKR SHPRX42
000000003010012961,TSTD 2 FLVS CRCKR SHPRX40
000000003010012963,CLUB CRCKR CINN SGR CRCKR HTCHX42
000000003010012964,TH 3 FLVS CRCKR HLF MODX193
000000003010012965,TH 3 FLVS CRCKR 46.3OZX1 ECOMM
000000003010012971,KLG 2 FLVS CRCKR 30OZX4 VALENTINE WM CDY
000000003010012973,KLG 2 FLVS CRCKR 30OZX4 VALEN CADDY
000000003010012976,CLUB CRCKR SWT HWN CRCKR 13.7OZX12
000000003010021164,KLG CHSE&PB CRCKR 21.60X144 SS
000000003010021166,KLG TST & PB CRCKR 21.60X144 SS
000000003010021485,ZESTA SALTINE CRCKR 160OZX1 BULK
000000003010021618,ZSTA SOUP OYSTER S CRCKR 160OZX1 BULK
000000003010022869,KLG SCOOBY HONEY GRHM STX CRCKR 11OZX12
000000003010026351,TSTD PRTY PK CRCKR 12OZX12
000000003010028100,OCRCK BTR CRCKR 336x1
000000003010028101,OCRCK WHT CRCKR 289.6x1
