MARA_MATNR,MAKT_MAKTX
000000003899999999,EDI DUMMY SKU
000000005008373704,PT VERY CHRY TSTP 8CT 14.11X12
000000005008375944,PT BUSTIN BRY TSTP 8CT 14.11OZX8
000000005008375949,PT BUSTIN BRY TSTP 21.16X12
000000005008375954,PT APL BLAST TSTP 21.16X12
000000005008375958,PT APL BLAST TSTP 14.11X8
000000005008376362,PT VERY CHRY TSTP 21.16X12
000000005200002001,PT STRWBRY SNSTN TSTP 8CT 13.5OZX12 UK
000000005200002003,PT STRWBRY SNSTN TSTP 8CT 13.5OZX12 UK
000000005200005001,PT CHOCOTASTIC TSTP 8CT 13.5OZX12 UK
000000005200005003,PT CHOCOTASTIC TSTP 8CT 13.5OZX12 UK
000000005200005004,PT CHOCOTASTIC TSTP 8CT 13.5OZX12 UK
000000005200032001,PT STRWBRY SNSTN TSTP 8CT 13.5OZX12 GER
000000005200032002,PT STRWBRY SNSTN TSTP 8CT 13.5OZX12 GER
000000005200034001,PT CHOCOTASTIC TSTP 8CT 13.5OZX12 GER
000000005200034002,PT CHOCOTASTIC TSTP 8CT 13.5OZX12 GER
000000005200034003,PT CHOCOTASTIC TSTP 8CT 13.5OZX12 GER
000000005200043001,PT HOTFDGSUN TSTP 8CT 13.5OZX12 UK
000000005200043002,PT HOTFDGSUN TSTP 8CT 13.5OZX12 UK
000000005200046001,PT HOTFDGSUN TSTP 8CT 13.5OZX12 GER
000000006410012580,PRG CA HLLWN 90-32x19G FULL DRP
000000006410012611,TH ORIG CRCKR 391GMX12
000000006410012613,TH FLIPSIDES ORIG CRCKR 260GMX12
000000006410012832,SPK 2 FLVS CRSP BAR 40CT 500GMX8
000000006410012834,SPK 2 FLVS CRSP BAR DRP 60CT 750GMX192
000000006410013083,PT CHOC CHIP TSTP 8CT 384GMX12
000000006410013085,PT FRSTD CHOC FDG TSTP 8CT 384GMX12
000000006410013087,PT FRSTD BLUBRRY TSTP 8CT 384GMX12
000000006410013089,PT FRSTD SMORES TSTP 8CT 384GMX12
000000006410013091,PT FRSTD STRWBRRY TSTP 8CT 384GMX12
000000006410013093,PT FRSTD RSPBRRY TSTP 8CT 384GMX12
000000006410013095,PT ASSTD TSTP 24CT 1152GMX10
000000006410013096,PT COOK&CRM TSTP 8CT 384GMX12
000000006410013151,CHZIT CRNCH SHRP WHT CHDR CRKR 92GMX6
000000006410013154,CHZIT CRNCH SHRP WHT CHDR 191GMX12
000000006410013156,CHZIT CRUNCH CHDR RNCH CRCKR 92GMX6
000000006410013159,CHZIT CRNCH CHDR RNCH CRKR 191GMX12
000000006410013169,CHZIT ORIG CRKR 6ct Tray 510GMX6
000000006410013172,CHZIT ORIG CRCKER 200GX12
000000006410013276,PRG CA 3 FLV CRISPS 36CT 1380GMX56 CLUB
000000006410013286,CHZIT ORIG CRCKR 28GMX100
000000006410013330,ZSTA SALTINE CAN 500/2ct CRKR RESTPK NLI
000000006410013331,ZSTA UNSLTD CAN 500/2ct CRKR REST PK NLI
000000006410013442,PRG CA MIX 1/2 CSDRP 148GMX420 BG
000000006410013447,CHZIT MIX PPK 191GMX84 BG
000000006410013489,PRG MIX PPK 148Gmx84
000000006410013522,PT MIX CHDRP 384GMX480
000000006410013524,PT NG RKT HDRP 176GMX384
000000006410013529,MIX BARS HDRP 295GMX264
000000006410013530,PT FRS MIX HDRP 384GMx480
000000006410013544,EG BLUBRRY FRZ WFL 280gmx12 NTLLA PROM
000000006410013615,PT NG CHDRP 295GMX396
000000006410013687,CHZIT ITAL CHSE CRCKR 200GMX12
000000006410013689,CHZIT EXTRA CHSY CRCKR 200GMX12
000000006410013693,CHZIT CRNCH ORG CHDR CRCKR 191GMX12
000000006410013768,EG ORIG FR TST STCKS 6 CT 270GMX12
000000006410013770,EG CINN  FR TST STCKS 6 CT 270GMX12
000000006410013772,PRG CRISPS SNK STK CA BBQ CRISPS 4X228GM
000000006410013774,PRG CA HNY MSTRD CRISPS 156GMx14
000000006410013797,PRG CA MIX 1/2 CSDRP 148GMX420 GAMING
000000006410013798,PRG CA MIX 1/2 CSDRP 148GMX420 GAMING
000000006410013799,PRINGLES CA MIX 1/2 CSDRP 148GMX420 GAMI
000000006410013801,PRG CA MIX CSDRP 148GMX910 GAMING
000000006410013802,PRG CA MIX PPK 148GMX112 GAMING
000000006410013841,PT FRSTD STRWBRRY TSTP 16CT 768GMX8
000000006410013902,PRG CA MIX 1/2 CSDRP 148GMX420 BG
000000006410013903,PRG CA MIX 1/2 CSDRP 148GMX420 BG
000000006410013905,PRG CA MIX HDRP 148GMx420 BG
000000006410013906,PRG CA MIX PPK 148GMX112 BG
000000006410013907,PRG CA MIX CSDRP 148GMX910 BG
000000006410014013,CHZIT MIX PPK 191GMX84 MLS
000000006410014016,PRG CA MIX 1/2 CSDRP 148GMX420 MLS
000000006410014017,PRG CA MIX HDRP 148GMx420 MLS
000000006410014018,PRG CA MIX PPK 148GMX112 MLS
000000006410014024,PT NG RKT HDRP 176GMX384 MLS
000000006410014025,MIX BARS HDRP 295GMX264 MLS
000000006410014027,PT FRS MIX HDRP 384GMx480 MLS
000000006410014042,PT MIX CHDRP 384GMX480 MULTISAVE
000000006410014043,PT NG CHDRP 295GMX396 MULTISAVE
000000006410014112,PRG CA CHDR SR CRM PTO CHIPS 156GX14
000000006410014121,CHZIT ORIG CRCKR 352G X 12CT
000000006410014191,EG MDGSCR VAN TF FRZ WFL 6CT 330GMX 8
000000006410014193,EG TF CINN BRWN SGR FRZ WFL 6CT 330GMX8
000000006410014195,EG TF BLUBRRY FRZ WFL 6CT 330GMX8
000000006410014207,PT 3 FLVS PSTRS 48CT 2300GMX168 CLUB
000000006410014273,PRG CA CHDR CHZ PTO CHIPS 203GMX14
000000006410014352,PT FRS MIX HDRP 384GMx480 CrnchNLI
000000006410014357,CHZIT HDRP 191GMx372
000000006410014369,PRG CA MEGA FDRP 194GMX546
000000006410014370,PRG CA MEGA HDRP 194GMX252
000000006410014399,PT NG RKT HDRP 176GMX384 NGNLI
000000006410014998,PRG MNGLS CA CHDR & SC PFD SNKS 9G X 90
000000006410015000,Pringles 27ct Variety Pack HDRP
000000006410015009,TH MDTRN HRB CRCKR 247GMX12
000000006410015026,CHZIT MIX PPK 191GMx84
000000006410015038,CHZIT MX FDRP 191GMX744
000000006410015040,EG PRTN STRW BLST WFL 8CT 280GMX12
000000006410015042,EG PRTN CHOC CHP BRWNIE WFL 8CT 280GMX12
000000006410015046,PRG CA LS CLNTS RJO PTO CHIPS 156GMX14
000000006410015048,TH FLTBRD CRSPS SLT OLV OIL CKR 247GMX12
000000006410015053,PRG CA LS CLNTS BBCOA PTO CHIPS 156GMX14
000000006410015055,PRG CA LS CLNTS VRDS PTO CHIPS 156GMX14
000000006410015057,PRG CA CH&LM PTO CHIPS 156GMX14
000000006410015059,PRG CA ST TACOS PTO CHIPS 156GMX14
000000006410015061,PRG CA MEX ST CRN PTO CHIPS 156GMX14
000000006410015071,PRG CA SW CHL SCE PTO CHIPS 131GMX14
000000006410015076,EG PRTN STRW BLST WFL 40CT 1400GMX240 CL
000000006410015090,8646712775 PRG MASALA PTO CHIPS 102GMX12
000000006410015093,8646712777 PRG HTSPCY PTO CHIPS 102GMX12
000000006410015102,RKT 2 FLVS BARS 28CT 588GMX8 VRTY PCK
000000006410015105,PT 2 FLVS PSTRS 24CT672GMX1 CSTCO CLUB
000000006410015166,TH ORIG CRCKR 391GMX12 HOL
000000006410015167,TH FLIPSIDES ORIG CRCKR 260GMX12 HOL
000000006410015170,TH ITAL HERB CRCKR 247GMX12 HOL
000000006410015171,TH SSLT PT CRSP CRCKR 247GMX12 HOL
000000006410015174,PT BRWN SGR CINN PSTRS 8CT 384GMX12
000000006410015192,CHZIT ORIG CRKR 28GMX40
000000006410015196,PRG CA MNGLS HDRP 3FLV 155GMx180
000000006410015197,PT HOT COCOA/MIDSIZE HDRP 352GMx260
000000006410015198,PRG CA PTY MINGLS MIX HDRP 155GMx256
000000006410015199,PRG CA FIESTA  MIX HDRP 156GMx420
000000006410015200,RKT HOLIDAY SPRNKLS 1/2DRP BAR 176gmx360
000000006410015201,RKTHOLSPRNKL PT MIX HDRP 176GMX39
000000006410015210,PRG CA MNGLS 2 FLVS CRISPS PPK 155GMX48
000000006410015211,PRG CA 2 FLV FIESTA PPK CRISPS 156GMX112
000000006410015214,CHZIT BCNTR CRCKR 351GMX12
000000006410015223,TH 4FLVS CRCKR HDRP 247GMx276
000000006410015229,PRG CA ETHNIC DRP 131GMX418
000000006410015230,PRG SN ST MIX HDRP 228GMX120
000000006410015231,PRG CA ETHNIC PPK 103GMX120
000000006410015234,PRG CA 3 FLVS PTOCHIPS 36CT 1380GMX56 CL
000000006410015236,PT FRSTD SMORES PSTRS 2CT 96GMX12
000000006410015239,PT FR STRWBRRY PSTRS 2CT 576GMX12
000000006410015242,PRG CA HOT ONES MIX PPK 156GMX14
000000006410015243,PRG CA HOT ONES MIX HDRP 156GMX420
000000006410015244,RKT VARIETY JUMBO HDRP MOD 660GMX120
000000006410015245,PT CHURRO/STRWM MIX HDRP 384GMx480
000000006410015250,SPK STRW PSTRY CRSPS 125GMX8 NAFOC
000000006410015251,SPK BLUBRRY PSTRY CRSPS 125GMX8 NAFOC
000000006410015252,SPK STRW CRISPS CADDY 24CT 300gmx6 NAFOC
000000006410015253,SPK BLUBRRYCRISPSCADDY 24CT 300gmx6NAFOC
000000006410015254,SPK 2 FLVS CRSP BAR 40CT 500 GMX8 NAFOC
000000006410015256,PRG CA QC MIX 1/2 CSDRP 148GMX420
000000006410015257,PT HOT FDG SUN PSTRS 8CT384GMX12
000000006410015260,PRG CA SC ONION CRISPS 95GMX12 WM
000000006410015263,PRG CA SLT VNGR CRISPS 95GMX12 WM
000000006410015269,PRG ORIG PTO CHIPS 95GMX12
000000006410015272,CHZIT FAM/SNPD MIX HDRP 213GMx240
000000006410015288,EG STRWBRRY WFL 8CT 280GMX12 STNGR THNGS
000000006410015298,EG PRTN BTRMLK FZN WFL 8CT 280GX12
000000006410015300,SPK 2 FLVS CRSP BAR DRP 60CT 750GMX192
000000006410015301,PRG CA MNGLS 3FLV PPK 155GMx60
000000006410015302,EG PRTN BTRMLK WFL 40CT 1400GMX240 CL
000000006410015305,GRHMS CRCKR EGGO 28ct 784GX140 CLUB
000000006410015309,EG CHOC CHIP PANC MINIS 5CT 240GMX8
000000006410015311,CHZIT BCN HDRP 351Gx276
000000006410015312,TH MIX PPK 247GMx72
000000006410015314,PT/NG/RKSB MIX HDRP
000000006410015398,RKT ORIG BAR 30CT 660GMX8
000000006410085305,PRG CA BBQ 12/39G
000000006410090642,RKT DBLE CHOCO CHNK BAR 12CT 1020GMX6
000000006410092093,PRG CN SCO 12/68G GNG STLK
000000006410092095,PRG CN SCO 12/39G SMALL STLK
000000007000021024,PRG AP SCO 18/165G
000000007000023008,PRG AP H&S 18/165G
000000007000250005,PRG AP H&S CRISPS 12X40G MTX AP PEP JXS
000000007000271011,PRG AP ORG CRISPS 12X40G MTX AP PEP JXS
000000007000279016,PRG AP SCO CRISPS 12X40G MTX AP PEP JXS
000000007000279017,PRG AP SCO CRISPS 12X40G CLNY
000000007000487116,PRG AP ORG CRISPS 18X165G
000000007000488118,PRG AP SCO CRISPS 18X165G
000000007000492055,PRG AP H&S CRISPS 18X165G
000000007001258044,PRG AP H&S CRISPS 19X165G RAL PEP AP JXS
000000007001258047,PRG AP H&S CRISPS PR-RG H&S 19X165G RAL
000000007001258053,PR-RG H&S 19X165G RAL PEP AP SFDA JXS
000000007001262065,PRG AP ORG CRISPS 19X165G RAL PEP AP JXS
000000007001262071,PRG AP ORG CRISPS PR-RG ORG 19X165G RAL
000000007001262080,PR-RG ORG 19X165G RAL PEP AP SFDA JXS
000000007001264064,PRG AP SCO CRISPS 19X165G RAL PEP AP JXS
000000007001264067,PRG AP SCO CRISPS PR-RG SCO 19X165G RAL
000000007001264078,PR-RG SCO 19X165G RAL PEP AP SFDA JXS
000000007001538034,PR-RG BBQ 19X200G RAL PEP AP SFDA JXS
000000007001544056,PR-RG ORG 19X200G RAL PEP AP SFDA JXS
000000007001547053,PR-RG SCO 19X200G RAL PEP AP SFDA JXS
000000007001558032,PR-RG H&S 19X200G RAL PEP AP SFDA JXS
000000007016306002,PRG AP H&S 19X165G MEG PEP JXS
000000007016306009,PRG AP H&S 19X165G HAL PEP 10L JXN
000000007016306012,PRG AP H&S 19X165G HAL PEP 9L JXS
000000007016306013,PRG AP H&S 19X165G NON HAL PEP 9L JXS
000000007016314002,PRG AP ORG 19X165G MEG PEP JXS
