T179_STUFE_LEVEL,T179_PRODH_NUM,T179T_VTEXT_DESC,INACTIVE,CHAR_VALUE
6,101010032200050006,MOUTH OFF XL P6,,P6
5,10101003220006,MOUTH OFF CLUB PK,,PK
6,101010032200060001,MOUTH OFF CLUB PK P1,,P1
6,101010032200060002,MOUTH OFF CLUB PK P2,,P2
6,101010032200060003,MOUTH OFF CLUB PK P3,,P3
6,101010032200060004,MOUTH OFF CLUB PK P4,,P4
6,101010032200060005,MOUTH OFF CLUB PK P5,,P5
6,101010032200060006,MOUTH OFF CLUB PK P6,,P6
5,10101003220007,MOUTH OFF MOD/SHIPPER,,MOD/SHIPPER
6,101010032200070001,MOUTH OFF MOD/SHIPPER P1,,P1
6,101010032200070002,MOUTH OFF MOD/SHIPPER P2,,P2
6,101010032200070003,MOUTH OFF MOD/SHIPPER P3,,P3
6,101010032200070004,MOUTH OFF MOD/SHIPPER P4,,P4
6,101010032200070005,MOUTH OFF MOD/SHIPPER P5,,P5
6,101010032200070006,MOUTH OFF MOD/SHIPPER P6,,P6
5,10101003220008,MOUTH OFF SPECIAL PK,,SPECIAL PK
6,101010032200080001,MOUTH OFF SPECIAL PK P1,,P1
6,101010032200080002,MOUTH OFF SPECIAL PK P2,,P2
6,101010032200080003,MOUTH OFF SPECIAL PK P3,,P3
6,101010032200080004,MOUTH OFF SPECIAL PK P4,,P4
6,101010032200080005,MOUTH OFF SPECIAL PK P5,,P5
6,101010032200080006,MOUTH OFF SPECIAL PK P6,,P6
1,20,CONVENIENCE FOODS,,
2,2010,TOASTER PASTRIES,,
3,201010,TOASTER PASTRIES,,
4,2010100052,POP-TARTS,,
5,20101000520001,POP-TARTS 5CT,,5CT
6,201010005200010001,POP-TARTS 5CT P1,,P1
6,201010005200010002,POP-TARTS 5CT P2,,P2
6,201010005200010003,POP-TARTS 5CT P3,,P3
6,201010005200010004,POP-TARTS 5CT P4,,P4
6,201010005200010005,POP-TARTS 5CT P5,,P5
6,201010005200010006,POP-TARTS 5CT P6,,P6
5,20101000520002,POP-TARTS 6CT,,6CT
6,201010005200020001,POP-TARTS 6CT P1,,P1
6,201010005200020002,POP-TARTS 6CT P2,,P2
6,201010005200020003,POP-TARTS 6CT P3,,P3
6,201010005200020004,POP-TARTS 6CT P4,,P4
6,201010005200020005,POP-TARTS 6CT P5,,P5
6,201010005200020006,POP-TARTS 6CT P6,,P6
5,20101000520003,POP-TARTS 8CT,,8CT
6,201010005200030001,POP-TARTS 8CT P1,,P1
6,201010005200030002,POP-TARTS 8CT P2,,P2
6,201010005200030003,POP-TARTS 8CT P3,,P3
6,201010005200030004,POP-TARTS 8CT P4,,P4
6,201010005200030005,POP-TARTS 8CT P5,,P5
6,201010005200030006,POP-TARTS 8CT P6,,P6
5,20101000520004,POP-TARTS 10CT,,10CT
6,201010005200040001,POP-TARTS 10CT P1,,P1
6,201010005200040002,POP-TARTS 10CT P2,,P2
6,201010005200040003,POP-TARTS 10CT P3,,P3
6,201010005200040004,POP-TARTS 10CT P4,,P4
6,201010005200040005,POP-TARTS 10CT P5,,P5
6,201010005200040006,POP-TARTS 10CT P6,,P6
5,20101000520005,POP-TARTS 12CT,,12CT
6,201010005200050001,POP-TARTS 12CT P1,,P1
6,201010005200050002,POP-TARTS 12CT P2,,P2
6,201010005200050003,POP-TARTS 12CT P3,,P3
6,201010005200050004,POP-TARTS 12CT P4,,P4
6,201010005200050005,POP-TARTS 12CT P5,,P5
6,201010005200050006,POP-TARTS 12CT P6,,P6
5,20101000520006,POP-TARTS 16CT,,16CT
6,201010005200060001,POP-TARTS 16CT P1,,P1
6,201010005200060002,POP-TARTS 16CT P2,,P2
6,201010005200060003,POP-TARTS 16CT P3,,P3
6,201010005200060004,POP-TARTS 16CT P4,,P4
6,201010005200060005,POP-TARTS 16CT P5,,P5
6,201010005200060006,POP-TARTS 16CT P6,,P6
5,20101000520007,POP-TARTS VALUE PK,,VALUE PK
6,201010005200070001,POP-TARTS VALUE PK P1,,P1
6,201010005200070002,POP-TARTS VALUE PK P2,,P2
6,201010005200070003,POP-TARTS VALUE PK P3,,P3
6,201010005200070004,POP-TARTS VALUE PK P4,,P4
6,201010005200070005,POP-TARTS VALUE PK P5,,P5
6,201010005200070006,POP-TARTS VALUE PK P6,,P6
5,20101000520008,POP-TARTS 24CT,,24CT
6,201010005200080001,POP-TARTS 24CT P1,,P1
6,201010005200080002,POP-TARTS 24CT P2,,P2
6,201010005200080003,POP-TARTS 24CT P3,,P3
6,201010005200080004,POP-TARTS 24CT P4,,P4
6,201010005200080005,POP-TARTS 24CT P5,,P5
6,201010005200080006,POP-TARTS 24CT P6,,P6
5,20101000520009,POP-TARTS 20CT,,20CT
6,201010005200090001,POP-TARTS 20CT P1,,P1
6,201010005200090002,POP-TARTS 20CT P2,,P2
6,201010005200090003,POP-TARTS 20CT P3,,P3
6,201010005200090004,POP-TARTS 20CT P4,,P4
6,201010005200090005,POP-TARTS 20CT P5,,P5
6,201010005200090006,POP-TARTS 20CT P6,,P6
5,20101000520010,POP-TARTS 36CT,,36CT
6,201010005200100001,POP-TARTS 36CT P1,,P1
6,201010005200100002,POP-TARTS 36CT P2,,P2
6,201010005200100003,POP-TARTS 36CT P3,,P3
6,201010005200100004,POP-TARTS 36CT P4,,P4
6,201010005200100005,POP-TARTS 36CT P5,,P5
6,201010005200100006,POP-TARTS 36CT P6,,P6
5,20101000520011,POP-TARTS 48CT,,48CT
6,201010005200110001,POP-TARTS 48CT P1,,P1
6,201010005200110002,POP-TARTS 48CT P2,,P2
6,201010005200110003,POP-TARTS 48CT P3,,P3
6,201010005200110004,POP-TARTS 48CT P4,,P4
6,201010005200110005,POP-TARTS 48CT P5,,P5
6,201010005200110006,POP-TARTS 48CT P6,,P6
5,20101000520012,POP-TARTS WG 1CT,,1CT
6,201010005200120001,POP-TARTS WG 1CT P1,,P1
6,201010005200120002,POP-TARTS WG 1CT P2,,P2
6,201010005200120003,POP-TARTS WG 1CT P3,,P3
6,201010005200120004,POP-TARTS WG 1CT P4,,P4
6,201010005200120005,POP-TARTS WG 1CT P5,,P5
6,201010005200120006,POP-TARTS WG 1CT P6,,P6
5,20101000520013,POP-TARTS SPECIAL PK,,SPECIAL PK
6,201010005200130001,POP-TARTS SPECIAL PK P1,,P1
6,201010005200130002,POP-TARTS SPECIAL PK P2,,P2
6,201010005200130003,POP-TARTS SPECIAL PK P3,,P3
6,201010005200130004,POP-TARTS SPECIAL PK P4,,P4
6,201010005200130005,POP-TARTS SPECIAL PK P5,,P5
6,201010005200130006,POP-TARTS SPECIAL PK P6,,P6
5,20101000520014,POP-TARTS CLUB PK,,CLUB PK
6,201010005200140001,POP-TARTS CLUB PK P1,,P1
6,201010005200140002,POP-TARTS CLUB PK P2,,P2
6,201010005200140003,POP-TARTS CLUB PK P3,,P3
6,201010005200140004,POP-TARTS CLUB PK P4,,P4
6,201010005200140005,POP-TARTS CLUB PK P5,,P5
6,201010005200140006,POP-TARTS CLUB PK P6,,P6
5,20101000520015,POP-TARTS MOD/SHIP,,MOD/SHIP
6,201010005200150001,POP-TARTS MOD/SHIP P1,,P1
6,201010005200150002,POP-TARTS MOD/SHIP P2,,P2
6,201010005200150003,POP-TARTS MOD/SHIP P3,,P3
6,201010005200150004,POP-TARTS MOD/SHIP P4,,P4
6,201010005200150005,POP-TARTS MOD/SHIP P5,,P5
6,201010005200150006,POP-TARTS MOD/SHIP P6,,P6
5,20101000520016,POP-TARTS SS,,SS
6,201010005200160001,POP-TARTS SS P1,,P1
6,201010005200160002,POP-TARTS SS P2,,P2
6,201010005200160003,POP-TARTS SS P3,,P3
6,201010005200160004,POP-TARTS SS P4,,P4
6,201010005200160005,POP-TARTS SS P5,,P5
6,201010005200160006,POP-TARTS SS P6,,P6
5,20101000520017,POP-TARTS 32CT,,32CT
6,201010005200170001,POP-TARTS 32CT P1,,P1
6,201010005200170002,POP-TARTS 32CT P2,,P2
6,201010005200170003,POP-TARTS 32CT P3,,P3
6,201010005200170004,POP-TARTS 32CT P4,,P4
6,201010005200170005,POP-TARTS 32CT P5,,P5
6,201010005200170006,POP-TARTS 32CT P6,,P6
5,20101000520018,POP-TARTS S,,S
6,201010005200180001,POP-TARTS S P1,,P1
6,201010005200180002,POP-TARTS S P2,,P2
6,201010005200180003,POP-TARTS S P3,,P3
6,201010005200180004,POP-TARTS S P4,,P4
6,201010005200180005,POP-TARTS S P5,,P5
6,201010005200180006,POP-TARTS S P6,,P6
5,20101000520019,POP-TARTS M,,M
6,201010005200190001,POP-TARTS M P1,,P1
6,201010005200190002,POP-TARTS M P2,,P2
6,201010005200190003,POP-TARTS M P3,,P3
6,201010005200190004,POP-TARTS M P4,,P4
6,201010005200190005,POP-TARTS M P5,,P5
6,201010005200190006,POP-TARTS M P6,,P6
5,20101000520020,POP-TARTS L,,L
6,201010005200200001,POP-TARTS L P1,,P1
6,201010005200200002,POP-TARTS L P2,,P2
6,201010005200200003,POP-TARTS L P3,,P3
6,201010005200200004,POP-TARTS L P4,,P4
6,201010005200200005,POP-TARTS L P5,,P5
6,201010005200200006,POP-TARTS L P6,,P6
5,20101000520021,POP-TARTS XL,,XL
6,201010005200210001,POP-TARTS XL P1,,P1
6,201010005200210002,POP-TARTS XL P2,,P2
6,201010005200210003,POP-TARTS XL P3,,P3
6,201010005200210004,POP-TARTS XL P4,,P4
6,201010005200210005,POP-TARTS XL P5,,P5
6,201010005200210006,POP-TARTS XL P6,,P6
5,20101000520022,POP-TARTS PT PB 12CT,,PT PB 12CT
6,201010005200220001,POP-TARTS PT PB 12CT P1,,P1
6,201010005200220002,POP-TARTS PT PB 12CT P2,,P2
5,20101000520023,POP-TARTS XS,,XS
6,201010005200230001,POP-TARTS XS P1,,P1
6,201010005200230002,POP-TARTS XS P2,,P2
5,20101000520024,POP-TARTS CRISPS 12CT,,CRISPS 12CT
6,201010005200240001,POP-TARTS CRISPS 12CT P1,,P1
6,201010005200240002,POP-TARTS CRISPS 12CT P2,,P2
6,201010005200240003,POP-TARTS CRISPS 12CT P3,,P3
5,20101000520025,POP-TARTS CRISPS 5CT,,CRISPS 5CT
6,201010005200250001,POP-TARTS CRISPS 5CT P1,,P1
6,201010005200250002,POP-TARTS CRISPS 5CT P2,,P2
6,201010005200250003,POP-TARTS CRISPS 5CT P3,,P3
5,20101000520026,POP-TARTS CRISPS SS,,CRISPS SS
6,201010005200260001,POP-TARTS CRISPS SS P1,,P1
6,201010005200260002,POP-TARTS CRISPS SS P2,,P2
6,201010005200260003,POP-TARTS CRISPS SS P3,,P3
