T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_MFG_CO,COUNTRY,MFG_CO_ABBREV,MFG_COMMENT,INACTIVE,PRIVATE_LABEL
2030100189,BEANATURAL,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100190,KASHI PITA CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100190,KASHI PITA CRACKERS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2030100209,CADDIES MIXED CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100209,CADDIES MIXED CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100212,AUSTIN CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100212,AUSTIN CRACKERS,FINISHED_GOODS,MFG_COMPANY,AUSTIN,US,,,,
2030100236,BEAR NAKED CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100236,BEAR NAKED CRACKERS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2030100238,KASHI CRISP CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100238,KASHI CRISP CRACKERS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2030100270,CHEEZ-IT SANDWICH CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100270,CHEEZ-IT SANDWICH CRACKERS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S CHEEZ IT,US,,,,
2030100319,PURE CRACKERS,FINISHED_GOODS,MFG_COMPANY,KASHI,CA,NULL,NULL,,
2030100319,PURE CRACKERS,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,NULL,NULL,,
2030100323,CLUB CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,CA,NULL,NULL,,
2030100323,CLUB CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,NULL,NULL,,
